nombre;precio
Pasta espaguetis nº 5 Barilla 500 g.;1.52
Mayonesa Ybarra sin gluten y sin lactosa envase 400 ml.;1.8
Aceite de girasol Koipe Sol 1 l.;1.99
Aceite de oliva virgen extra Carrefour spray 200 ml.;2.8
Lentejas cocidas sin sal añadida categoría Extra Carrefour 400 g.;0.84
Fideo entrefino Carrefour 500 g.;0.79
Harina de maíz Randimpak 1 kg.;2.75
Tomate frito sin azúcares añadidos contenido reducido en sal Carrefour tarro 550 g.;1.08
Estrellas Carrefour 500 g.;0.79
Arroz redondo integral para microondas Classic Carrefour sin gluten pack de 2 unidades de 125 g.;1.1
Tortelloni de 4 quesos al huevo Carrefour 250 g.;1.8
Salsa de tomate De la Abuela Carrefour tarro 300 g.;1.5
Fideuá Carrefour 500 g.;0.79
Kétchup light Carrefour envase 540 g.;1.52
Aceite de oliva virgen extra Carrefour garrafa 5 l.;5.78
Aderezo de limón exprimido Carrefour 250 ml.;0.89
Arroz redondo Brillante Sabroz 1 kg.;2.79
Fideo nº4 Gallo 450 g.;1.44
Vinagre de manzana sin filtrar ecológico Carrefour Bio 500 ml.;2.25
Tiburón vegetal Carrefour 500 g.;0.79
Salsa ligera con aceite de girasol Carrefour 500 ml.;1.52
Salsa de miel y mostaza Carrefour Classic sin gluten envase 300 g.;1.16
Aceite de oliva 0,4º La Masía 1 l.;5.59
Tallarines Carrefour 1 kg.;1.29
Pasta macarrones penne rigate nº 73 Barilla 500 g.;1.52
Arroz integral Sos 1 kg.;2.09
Mayonesa Ybarra sin gluten y sin lactosa tarro 450 ml.;2.29
Aceite de oliva virgen serie oro Coosur 1 l.;8.95
Espirales vegetales Carrefour 500 g.;1.26
Garbanzo categoría extra Carrefour 1 kg.;2.25
Kétchup Heinz envase 700 g.;3.79
Arroz vaporizado largo Brillante 1 kg.;2.05
Alubias rojas cocidas Classic Carrefour 400 g.;1.15
Arroz integral para microondas Brillante pack de 2 unidades de 125 g.;1.25
Arroz basmati Tilda 1 kg.;3.59
Mostaza Orlando sin gluten envase 290 g.;1.62
Perejil hoja Carrefour Classic 10 g.;0.49
Espirales tricolor Carrefour 1 kg.;1.66
Macarrones integrales Carrefour 500 g.;1.11
Aceite de girasol Coosol 1 l.;2.09
Pimienta negra molida Carrefour 45 g.;0.75
Garbanzo pedrosillano Classic Carrefour 400 g.;0.99
Salsa césar Carrefour Classic sin gluten 300 g.;1.16
Espaguetis integrales Carrefour 500 g.;1.11
Powerade Citrus con tapón sport botella 50 cl.;1.62
Sazonador para fajitas suave Old El Paso 35 g.;1.45
Lenteja categoría extra Carrefour 1 kg.;2.05
Placas para lasaña precocidas El Pavo 200 g.;1.49
Maravilla Carrefour 500 g.;0.79
Pasta plumas nº 6 Gallo 450 g.;1.44
Aceite de oliva virgen extra Koipe 1 l.;7.99
Pasta fideo nº 2 Gallo 450 g.;1.44
Pasta spaghetti fino Gallo 450 g.;1.44
Salsa barbacoa Carrefour envase 400 g.;1.31
Tomate frito Orlando sin gluten brik 780 g.;1.99
Tortellini ricotta y espinacas Buitoni 230 g.;3.19
Kétchup Orlando sin gluten envase 300 g.;1.59
Alubia cocida categoría extra Luengo 400 g.;1.31
Sal marina fina Carrefour 250 g.;0.62
Pasta cintas nido al huevo Extra Carrefour 500 g.;1.25
Placas para lasaña precocidas Carrefour 250 g.;1.19
Arroz redondo integral Carrefour 1 kg.;1.49
Ravioli de tomate y mozzarella al huevo Carrefour 250 g.;1.8
Laurel hoja Classic Carrefour 10 g.;0.7
Alubia pinta cocida Carrefour 400 g.;1.15
Mayonesa Hellmann's sin gluten tarro 225 ml.;2.09
Aceite de oliva intenso 1º Carrefour garrafa 5 l.;4.59
Garbanzo castellano cocido categoría extra De Nuestra Tierra 400 g.;1.71
Salsa bechamel Classic Carrefour brik 500 ml.;2.35
Harina de maíz fina Maizena sin gluten 400 g.;3.25
Aceite de oliva intenso 1º La Española 1 l.;8.29
Placas para canelones Gallo 160 g.;0.99
Mayonesa Hellmann's sin gluten sin lactosa envase 430 ml.;3.69
Salsa kebab Carrefour envase 340 g.;1.31
Pasta tallarín Gallo 450 g.;1.44
Tomate frito con aceite de oliva virgen Carrefour 390 g.;0.93
Bicarbonato sódico Carrefour 300 g.;1.1
Mayonesa Heinz envase 400 ml.;3.39
Tomate frito Solís sin gluten pack 2 tarros de 460 g.;3.6
Tomate frito con aceite de oliva Solis sin gluten pack de 2 tarros de 460 g.;3.85
Couscous mediano Classic Carrefour 500 g.;0.96
Salsa de quesos Carrefour sobre 140 g.;1.13
Mayonesa Ligeresa sin lactosa tarro 425 g.;2.65
Cebolla granulada Carrefour Classic 30 g.;0.48
Salsa de soja Heinz botella 150 ml.;3.19
Garbanzo lechoso categoría extra Luengo 1 kg.;4.65
Espaguetis cocción rápida Carrefour 500 g.;0.79
Garbanzo lechoso categoría extra Carrefour 1 kg.;2.65
Alubia blanca categoría extra Carrefour 1 kg.;2.49
Aceite de oliva virgen extra hojiblanca Carrefour 1 l.;7.95
Tomate frito con aceite de oliva Carrefour tarro 350 g.;1.75
Bicarbonato sódico alimentario Roca 1 kg.;1.75
Salsa picante Piri Piri Sensation Carrefour botella 200 g.;0.99
Aceite de oliva virgen extra picual Carrefour 1 l.;7.95
Alubia pinta categoría extra Carrefour 1 kg.;2.49
