nombre;precio;volumen
Aceite de oliva virgen extra La Almazara del Olivar de Dia garrafa 3 l;17,70;(5,90 €/LITRO)
Aceite de oliva suave La Almazara del Olivar de Dia botella 1 l;4,95;(4,95 €/LITRO)
Aceite refinado de girasol Diasol garrafa 5 l;8,70;(1,74 €/LITRO)
Aceite de orujo de oliva La Almazara del Olivar de Dia botella 1 l;3,99;(3,99 €/LITRO)
Aceite de girasol Koipe botella 1 l;2,71;(2,03 €/LITRO)
Aceite de oliva virgen La Almazara del Olivar de Dia garrafa 3 l;15,15;(5,05 €/LITRO)
Aceite de oliva suave La Almazara del Olivar de Dia botella 3 l;13,99;(4,66 €/LITRO)
Aceite de oliva virgen extra La Almazara del Olivar de Dia botella 750 ml;6,59;(8,79 €/LITRO)
Aceite de girasol alto oleico especial freidora de aire Diasol spray 200 ml;1,99;(9,95 €/LITRO)
Aceite de oliva intenso La Almazara del Olivar de Dia botella 3 l;13,99;(4,66 €/LITRO)
Aceite de oliva intenso La Almazara del Olivar de Dia botella 1 l;4,95;(4,95 €/LITRO)
Aceite de oliva suave La española botella 1 l;8,29;(8,29 €/LITRO)
Aceite de oliva virgen extra hojiblanca Coosur botella 1 l;9,99;(9,99 €/LITRO)
Aceite de oliva virgen extra Carbonell botella 1 l;9,99;(9,99 €/LITRO)
Aceite de oliva virgen extra Hojiblanca botella 500 ml;5,95;(11,90 €/LITRO)
(17,95 €/LITRO);Aceite de oliva suave La masía botella 1 l;7,69 €
(7,69 €/LITRO);Aceite de girasol La masía garrafa 5 l;10,49 €
(2,10 €/LITRO);Aceite de oliva virgen extra Hojiblanca botella 1 l;10,25 €
(10,25 €/LITRO);Aceite de oliva virgen extra Carbonell botella 750 ml;7,99 €
(10,65 €/LITRO);Aceite de semillas especial freidora de aire La española spray 200 ml;2,55 €
(12,75 €/LITRO);Aceite de oliva virgen extra Jaencoop botella 1 l;9,38 €
(9,38 €/LITRO);Aceite de oliva virgen extra Jaencoop botella 250 ml;3,49 €
(13,96 €/LITRO);Set aliño aceite de oliva y vinagre Capricho andaluz bolsa 1 unidad;2,15 €
(2,15 €/UNIDAD);Aceite de oliva virgen extra Dcoop garrafa 3 l;33,94 €
(11,31 €/LITRO);Aceite de orujo de oliva La masía botella 1 l;4,69 €
(4,69 €/LITRO);Aceite de girasol Coosol garrafa 5 l;12,45 €
(2,49 €/LITRO);Aceite de girasol especial para freír Koipe botella 1 l;2,81 €
(2,81 €/LITRO);Aceite de coco virgen extra bio Bio para todos frasco 225 ml;3,99 €
(17,73 €/LITRO);Aceite de oliva virgen Coosur botella 1 l;8,95 €
(8,95 €/LITRO);Aceite de oliva virgen extra y aroma de trufa La española spray 200 ml;3,49 €
(17,45 €/LITRO);Aceite de oliva intenso Carbonell botella 1 l;8,99 €
(8,99 €/LITRO);Aceite de oliva virgen extra a la trufa blanca La española botella 250 ml;3,69 €
(14,76 €/LITRO);Aceite de oliva intenso La Almazara del Olivar de Dia garrafa 5 l;28,00 €
(5,60 €/LITRO);(7,69/LITRO);Aceite de oliva suave Carbonell botella 1 l
8,99 €;(8,99/LITRO);Aceite de oliva virgen extra Dcoop botella 1 l
Vinagre de vino blanco Aliña tu Dia botella 1 l;0,65;(0,65 €/LITRO)
Vinagre balsámico de módena Selección Mundial de Dia botella 500 ml;2,39;(4,78 €/LITRO)
Crema de vinagre de módena Aliña tu Dia botella 250 ml;1,99;(7,96 €/LITRO)
Vinagre de manzana Aliña tu Dia botella 1 l;0,80;(0,80 €/LITRO)
Vinagre de jerez reserva D.O.P. Delicias de Dia botella 250 ml;1,99;(7,96 €/LITRO)
Aderezo de limón Aliña tu Dia botella 50 cl;0,99;(1,98 €/LITRO)
Zumo de limón concentrado Polenghi bote 200 ml;1,03;(5,15 €/LITRO)
Crema vinagre de módena sin azúcares añadidos Vulpi botella 400 ml;1,99;(4,98 €/LITRO)
Crema de vinagre de Módena con frambuesa Aliña tu Dia botella 220 ml;2,35;(10,68 €/LITRO)
Crema de vinagre con Pedro Ximénez Aliña tu Dia botella 220 ml;2,35;(10,68 €/LITRO)
Vinagre de manzana ecológico Riojavina botella 500 ml;2,35;(4,70 €/LITRO)
Vinagre balsámico de módena Borges botella 250 ml;2,39;(9,56 €/LITRO)
Vinagre de vino blanco Borges botella 1 l;1,35;(1,35 €/LITRO)
Vinagre de vino blanco Ybarra botella 1 l;1,05;(1,05 €/LITRO)
Vinagre de vino tinto Borges botella 1 l;1,35;(1,35 €/LITRO)
Vinagre de sidra Mayador botella 75 cl;2,79;(3,72 €/LITRO)
Vinagre de manzana Ybarra botella 1 l;1,95;(1,95 €/LITRO)
Tomate frito Vegecampo de Dia brik 3 x 390 g;1,40;(1,20 €/KILO)
Tomate triturado Vegecampo de Dia lata 390 g;0,63;(1,62 €/KILO)
Tomate frito Vegecampo de Dia brik 3 x 215 g;0,95;(1,47 €/KILO)
Tomate triturado Vegecampo de Dia lata 780 g;0,96;(1,01 €/KILO)
Tomate frito Vegecampo de Dia frasco 550 g;0,83;(1,51 €/KILO)
Tomate frito casero Vegecampo de Dia frasco 350 g;1,20;(3,43 €/KILO)
Pisto con aceite de oliva Vegecampo de Dia frasco 350 g;1,30;(3,71 €/KILO)
Tomate troceado Vegecampo de Dia lata 400 g;0,78;(1,95 €/KILO)
Tomate frito Orlando brik 3 x 212 g;1,99;(3,13 €/KILO)
Tomate frito receta tradicional Vegecampo de Dia frasco 550 g;2,06;(3,75 €/KILO)
Tomate frito con aceite de oliva Vegecampo de Dia brik 390 g;0,85;(2,18 €/KILO)
Tomate frito casero con aceite de oliva Hida lata 340 g;1,65;(4,85 €/KILO)
Tomate entero pelado Vegecampo de Dia lata 480 g;1,35;(2,81 €/KILO)
Tomate frito Orlando brik 350 g;1,00;(2,86 €/KILO)
Pisto de tomate frito con verduras Hida lata 340 g;1,99;(5,85 €/KILO)
Tomate frito estilo casero Solís frasco 350 g;1,99;(5,69 €/KILO)
Tomate frito Solís frasco 2 x 460 g;3,60;(3,91 €/KILO)
Tomate frito 0% azúcares añadidos Hida frasco 350 g;1,65;(4,71 €/KILO)
Tomate frito Solís brik 350 g;0,99;(2,83 €/KILO)
Tomate frito con aceite oliva Orlando brik 350 g;1,49;(4,26 €/KILO)
Sofrito tomate y cebolla Gallina Blanca frasco 325 g;2,39;(7,35 €/KILO)
Pisto casero 100% natural Gallina Blanca frasco 325 g;2,39;(7,35 €/KILO)
Tomate frito estilo casero Solís lata 3 x 100 g;2,15;(7,17 €/KILO)
Tomate frito con aceite de oliva Solís frasco 360 g;1,79;(4,97 €/KILO)
Tomate frito Helios frasco 570 g;1,99;(3,49 €/KILO)
Tomate frito sin sal Orlando brik 350 g;1,49;(4,26 €/KILO)
Tomate doble concentrado Hida bote 170 g;2,25;(13,24 €/KILO)
Sofrito casero de tomate y verduras Gallina Blanca frasco 325 g;2,39;(7,35 €/KILO)
Tomate frito ecológico Orlando frasco 340 g;2,19;(6,44 €/KILO)
Tomate triturado Orlando brik 510 g;1,99;(3,90 €/KILO)
Tomate frito Solís frasco 360 g;1,59;(4,42 €/KILO)
Tomate frito bio Vegecampo de Dia frasco 350 g;1,65;(4,71 €/KILO)
Tomate frito con aceite de oliva Helios frasco 560 g;2,50;(4,46 €/KILO)
Ketchup Salseo de Dia bote 560 g;1,19;(2,13 €/KILO)
Mayonesa Salseo de Dia frasco 450 ml;1,29;(2,87 €/LITRO)
Mayonesa Salseo de Dia bote 500 ml;1,49;(2,98 €/LITRO)
Salsa barbacoa Salseo de Dia bote 360 g;1,15;(3,19 €/KILO)
Salsa de soja Salseo de Dia frasco 250 ml;1,25;(5,00 €/LITRO)
Mostaza original Salseo de Dia bote 250 g;1,09;(4,36 €/KILO)
Salsa ali oli Chovi tarrina 180 g;1,35;(7,50 €/KILO)
Ketchup light Salseo de Dia bote 540 g;1,49;(2,76 €/KILO)
Salsa mayo sriracha Salseo de Dia bote 300 g;1,69;(5,63 €/KILO)
Ketchup Heinz bote 700 g;3,79;(5,41 €/KILO)
Salsa bechamel Al Diante Dia brik 500 ml;1,85;(3,70 €/LITRO)
Salsa de soja sin gluten Selección Mundial de Dia frasco 150 ml;1,69;(11,27 €/LITRO)
Mayonesa Salseo de Dia bote 300 ml;1,19;(3,97 €/LITRO)
Salsa pesto verde Al Diante Dia frasco 185 g;1,99;(10,76 €/KILO)
Salsa boloñesa Al Diante Dia frasco 300 g;1,69;(5,63 €/KILO)
Salsa de yogur Salseo de Dia bote 300 ml;1,16;(3,87 €/LITRO)
Mayonesa Ybarra frasco 400 ml;2,19;(5,48 €/LITRO)
Gran mayonesa Hellmanns frasco 450 ml;3,25;(7,22 €/LITRO)
Salsa napolitana Al Diante Dia frasco 300 g;1,59;(5,30 €/KILO)
Salsa ali-oli Ybarra frasco 225 ml;1,75;(7,78 €/LITRO)
Salsa pesto alla genovese Barilla frasco 190 g;2,49;(13,11 €/KILO)
Salsa ricotta Al Diante Dia frasco 300 g;1,59;(5,30 €/KILO)
Gran mayonesa Hellmanns frasco 225 ml;1,99;(8,84 €/LITRO)
Salsa para hamburguesas Salseo de Dia bote 300 g;1,50;(5,00 €/KILO)
Salsa cocktail Ybarra frasco 225 ml;1,75;(7,78 €/LITRO)
Salsa de pedro ximénez Salseo de Dia frasco 210 g;1,85;(8,81 €/KILO)
Salsa césar Salseo de Dia bote 300 ml;1,35;(4,50 €/LITRO)
Salsa teriyaki japonesa Blue dragon frasco 150 ml;2,49;(16,60 €/LITRO)
Ketchup clásico Prima bote 540 g;2,99;(5,54 €/KILO)
Salsa tikka masala Pataks frasco 450 g;3,35;(7,44 €/KILO)
Salsa sabor cheddar y bacon Orlando bote 245 g;2,19;(8,94 €/KILO)
Salsa ranchera Salseo de Dia bote 300 g;1,50;(5,00 €/KILO)
Salsa ligera Salseo de Dia frasco 450 ml;1,29;(2,87 €/LITRO)
Salsa pesto rojo Al Diante Dia frasco 185 g;1,99;(10,76 €/KILO)
Mayonesa casera Calvé frasco 430 ml;2,65;(6,16 €/LITRO)
Mayonesa picante Hellmanns bote 250 ml;2,29;(9,16 €/LITRO)
Salsa top down Ligeresa bote 430 ml;2,65;(6,16 €/LITRO)
Mayonesa Hellmanns bote 430 ml;3,49;(8,12 €/LITRO)
Salsa fina original Ligeresa frasco 210 ml;1,65;(7,86 €/LITRO)
Salsa picante Salsas Asturianas frasco 100 g;1,69;(16,90 €/KILO)
Sal marina de mesa fina Dia paquete 1 Kg;0,40;(0,40 €/KILO)
Ajo en polvo Vegecampo de Dia frasco 85 g;0,95;(11,18 €/KILO)
Orégano Vegecampo de Dia frasco 15 g;0,65;(43,33 €/KILO)
Hojas de laurel Dani bolsa 10 g;0,89;(89,00 €/KILO)
Cebolla en polvo Vegecampo de Dia frasco 60 g;0,94;(15,67 €/KILO)
Perejil Vegecampo de Dia frasco 18 g;0,79;(43,89 €/KILO)
Pimienta negra Vegecampo de Dia frasco 65 g;1,07;(16,46 €/KILO)
Pimentón dulce Vegecampo de Dia frasco 58 g;0,95;(16,38 €/KILO)
Sal marina yodada Dia paquete 1 Kg;0,40;(0,40 €/KILO)
Curry Vegecampo de Dia frasco 55 g;1,10;(20,00 €/KILO)
Canela molida Vegecampo de Dia frasco 45 g;0,87;(19,33 €/KILO)
Sal marina gruesa Dia paquete 1 Kg;0,40;(0,40 €/KILO)
Pimentón dulce de La Vera Vegecampo de Dia lata 75 g;1,85;(24,67 €/KILO)
Bicarbonato sódico Sal dia bolsa 1 Kg;1,50;(1,50 €/KILO)
Sal marina de mesa fina Dia bote 250 g;0,62;(2,48 €/KILO)
Sazonador pollo El avion frasco 110 g;2,85;(25,91 €/KILO)
Comino molido Vegecampo de Dia frasco 60 g;1,15;(19,17 €/KILO)
Canela en rama Vegecampo de Dia frasco 20 g;1,45;(72,50 €/KILO)
Molinillo pimienta negra Vegecampo de Dia frasco 46 g;1,17;(25,43 €/KILO)
Cúrcuma Vegecampo de Dia frasco 60 g;1,25;(20,83 €/KILO)
Pimentón ahumado dulce Vegecampo de Dia lata 75 g;1,40;(18,67 €/KILO)
Nuez moscada molida Vegecampo de Dia frasco 60 g;1,65;(27,50 €/KILO)
Azafrán en hebras Safrina caja 0.375 g;1,75;(4666,67 €/KILO)
Sazonador sabor Cheese Carmencita caja 13.5 g;1,49;(110,37 €/KILO)
Sal rosa del himalaya fina Toque bolsa 250 g;1,95;(7,80 €/KILO)
Sazonador ajo perejil Dani bote 25 g;1,69;(67,60 €/KILO)
Colorante alimentario Vegecampo de Dia frasco 75 g;0,84;(11,20 €/KILO)
Molinillo 4 pimientas Vegecampo de Dia frasco 42 g;1,55;(36,90 €/KILO)
Azafrán molido Pote caja 4 sobres 100 mg;2,75;(6875,00 €/KILO)
Albahaca Vegecampo de Dia frasco 20 g;1,25;(62,50 €/KILO)
Cayena entera Vegecampo de Dia frasco 20 g;1,01;(50,50 €/KILO)
Hierbas provenzales Vegecampo de Dia frasco 22 g;1,06;(48,18 €/KILO)
Pimentón picante Vegecampo de Dia frasco 58 g;1,25;(21,55 €/KILO)
Sal con yodo más flúor Costa paquete 1 Kg;0,85;(0,85 €/KILO)
Tomillo Vegecampo de Dia frasco 25 g;0,99;(39,60 €/KILO)
Sazonador patatas fritas El avion frasco 65 g;2,85;(43,85 €/KILO)
Jengibre molido Vegecampo de Dia frasco 50 g;1,60;(32,00 €/KILO)
Pimienta blanca molida Vegecampo de Dia frasco 65 g;1,95;(30,00 €/KILO)
Sal para hornear Dia paquete 2 Kg;1,25;(0,63 €/KILO)
Pimienta negra Toque frasco 40 g;2,95;(0,07 €/UNIDAD)
Atún en aceite de girasol Mari Marinera de Dia lata 6 x 52 g;3,75;(12,02 €/KILO)
Atún claro al natural Mari Marinera de Dia lata 6 x 60 g;4,20;(11,67 €/KILO)
Atún claro en aceite de oliva Mari Marinera de Dia lata 6 x 60 g;5,15;(14,31 €/KILO)
Atún en aceite de girasol Mari Marinera de Dia lata 650 g;6,45;(9,92 €/KILO)
Atún en aceite de oliva Mari Marinera de Dia lata 6 x 52 g;4,49;(14,39 €/KILO)
Trozos de atún en aceite de girasol Ribeira lata 3 x 52 g;1,79;(11,47 €/KILO)
Filetes de caballa del sur en aceite de oliva Mari Marinera de Dia lata 85 g;1,69;(19,88 €/KILO)
Atún al natural Mari Marinera de Dia pack 3 x 56 g;1,99;(11,85 €/KILO)
Filetes de caballa del sur en aceite de girasol Mari Marinera de Dia lata 85 g;1,39;(16,35 €/KILO)
Bonito del norte en aceite de oliva Mari Marinera de Dia lata 73 g;1,99;(27,26 €/KILO)
Atún claro en aceite de oliva bajo en sal Mari Marinera de Dia lata 3 x 60 g;3,00;(16,67 €/KILO)
Atún en aceite de oliva Mari Marinera de Dia lata 3 x 52 g;2,45;(15,71 €/KILO)
Bonito del Norte MSC en aceite de oliva Mari Marinera de Dia frasco 140 g;4,55;(32,50 €/KILO)
Atún claro en escabeche Mari Marinera de Dia lata 6 x 60 g;4,70;(13,06 €/KILO)
Atún en aceite de girasol Mari Marinera de Dia lata 3 x 52 g;2,10;(13,46 €/KILO)
Atún claro en aceite de oliva Calvo lata 6 x 52 g;7,85;(25,16 €/KILO)
Atún claro en aceite de oliva Mari Marinera de Dia lata 3 x 60 g;2,99;(16,61 €/KILO)
Atún claro en aceite de girasol Calvo lata 3 x 52 g;3,50;(22,44 €/KILO)
Atún claro al natural Calvo lata 6 x 56 g;6,69;(19,91 €/KILO)
Filetes de caballa del sur en aceite de girasol Ubago lata 65 g;1,55;(23,85 €/KILO)
Atún claro en aceite de oliva Calvo lata 3 x 52 g;4,45;(28,53 €/KILO)
Atún en aceite girasol Isabel lata 3 x 52 g;3,29;(21,09 €/KILO)
Atún en tomate Mari Marinera de Dia lata 3 x 52 g;2,10;(13,46 €/KILO)
Ventresca de atún claro en aceite de oliva Mari Marinera de Dia lata 78 g;3,30;(42,31 €/KILO)
Bonito del Norte en escabeche Mari Marinera de Dia lata 140 g;3,30;(23,57 €/KILO)
Trozos de bonito del Norte MSC Mari Marinera de Dia lata 3 x 52 g;2,69;(17,24 €/KILO)
Bonito del norte en aceite de oliva MSC Campos lata 60 g;1,90;(31,67 €/KILO)
Bonito del Norte en aceite de girasol alto oleico Realmar frasco 228 g;5,95;(26,10 €/KILO)
Atún en aceite de oliva Ribeira lata 650 g;8,80;(13,54 €/KILO)
Atún en aceite de girasol Isabel lata 260 g;5,95;(22,88 €/KILO)
Atún claro en aceite de girasol Mari Marinera de Dia frasco 228 g;4,95;(21,71 €/KILO)
Atún claro en aceite de oliva Albo lata 67 g;2,39;(35,67 €/KILO)
Bonito en aceite de girasol alto oleico Consorcio lata 80 g;2,95;(36,88 €/KILO)
Atún en aceite de girasol Isabel lata 6 x 52 g;5,95;(19,07 €/KILO)
Atún con tomate Isabel lata 3 x 52 g;3,19;(20,45 €/KILO)
Atún claro en aceite de oliva bajo en sal Calvo lata 3 x 52 g;4,45;(28,53 €/KILO)
Ventresca de atún claro en aceite de oliva Ribeira lata 73 g;3,85;(52,74 €/KILO)
Bonito en aceite de girasol alto oleico Mari Marinera de Dia frasco 228 g;5,89;(25,83 €/KILO)
Atún claro en aceite de girasol Calvo lata 2 x 52 g;1,50;(14,42 €/KILO)
Atún claro en aceite de girasol Albo lata 67 g;1,95;(29,10 €/KILO)
Berberechos al natural Dani lata 63 g;3,29;(52,22 €/KILO)
Berberechos al natural 60/90 piezas Mari Marinera de Dia lata 63 g;2,89;(45,87 €/KILO)
Berberechos al natural Dani lata 90 g;3,89;(43,22 €/KILO)
Berberechos al natural 55/65 piezas Baymar lata 63 g;4,59;(72,86 €/KILO)
Mejillones en escabeche Mari Marinera de Dia lata 3 x 43 g;2,35;(18,22 €/KILO)
Mejillones en escabeche 8/12 piezas Mari Marinera de Dia lata 69 g;2,50;(36,23 €/KILO)
(29,38 €/KILO);Mejillones en escabeche 14/18 piezas Mari Marinera de Dia lata 69 g;1,85 €
(26,81 €/KILO);Mejillones en escabeche 13/18 piezas Calvo lata 69 g;2,49 €
(36,09 €/KILO);Mejillones en escabeche picantes 14/18 piezas Mari Marinera de Dia lata 69 g;1,89 €
(27,39 €/KILO);Mejillones al natural 14/18 piezas Mari Marinera de Dia lata 69 g;1,85 €
(26,81 €/KILO);(16,39/KILO);Mejillones en salsa vieira 13/18 piezas Mari Marinera de Dia lata 69 g
1,89 €;(27,39/KILO);Mejillones picantes 13/18 piezas Isabel lata 69 g
2,25 €;(32,61/KILO);Mejillones en escabeche 8/12 piezas Isabel lata 69 g
4,55 €;(65,94/KILO);Mejillones en escabeche 13/18 piezas Isabel lata 69 g
2,29 €;(33,19/KILO);Mejillones en salsa vieira 13/18 piezas Isabel lata 69 g
2,25 €;(32,61/KILO);Mejillones en escabeche 6/8 piezas lata 69 g
4,95 €;(71,74/KILO);Mejillones en escabeche pequeños Isabel lata 69 g
Sardinillas en aceite de oliva Mari Marinera de Dia lata 2 x 62 g;1,91;(15,40 €/KILO)
Sardinillas en tomate Mari Marinera de Dia lata 62 g;0,95;(15,32 €/KILO)
Sardinillas en aceite de oliva bajo en sal Mari Marinera de Dia lata 2 x 65 g;2,05;(15,77 €/KILO)
Sardinas en aceite de oliva Mari Marinera de Dia lata 85 g;1,05;(12,35 €/KILO)
Sardinillas en aceite de girasol Mari Marinera de Dia lata 2 x 65 g;1,69;(13,00 €/KILO)
Sardinillas en aceite picante Mari Marinera de Dia lata 62 g;0,95;(15,32 €/KILO)
Sardinas picantonas Albo lata 85 g;2,15;(25,29 €/KILO)
Sardinillas en escabeche Mari Marinera de Dia lata 65 g;0,95;(14,62 €/KILO)
Sardinas en tomate Mari Marinera de Dia lata 85 g;0,95;(11,18 €/KILO)
Sardinas en aceite de oliva Albo lata 85 g;2,15;(25,29 €/KILO)
Sardinillas en aceite de oliva bajo en sal Calvo lata 60 g;1,89;(31,50 €/KILO)
Sardinillas en aceite de oliva 8/12 piezas Albo lata 82 g;2,45;(29,88 €/KILO)
Sardinas en aceite de oliva Cuca lata 85 g;2,45;(28,82 €/KILO)
Sardinillas en aceite picante Ribeira lata 60 g;1,00;(16,67 €/KILO)
Sardinilla aceite oliva Cuca lata 63 g;2,79;(44,29 €/KILO)
Filetes de sardina en aceite de oliva Minerva lata 85 g;3,49;(41,06 €/KILO)
Potón en salsa americana Mari Marinera de Dia lata 3 x 51 g;2,29;(11,23 €/KILO)
Potón en su tinta Mari Marinera de Dia lata 3 x 51 g;2,69;(17,58 €/KILO)
Melva en aceite de oliva Mari Marinera de Dia lata 85 g;2,09;(24,59 €/KILO)
Tacos de potón al ajillo Mari Marinera de Dia lata 72 g;1,65;(22,92 €/KILO)
Almejones al natural Mari Marinera de Dia lata 63 g;1,20;(19,05 €/KILO)
Zamburiñas en salsa vieira Mari Marinera de Dia lata 63 g;1,95;(30,95 €/KILO)
Maravillas de mar al ajillo Mari Marinera de Dia lata 50 g;1,55;(31,00 €/KILO)
Chipirones rellenos en su tinta Lamberti lata 72 g;2,45;(34,03 €/KILO)
Calamares en su tinta Albo lata 72 g;2,69;(37,36 €/KILO)
Chipirones rellenos en salsa americana Mari Marinera de Dia lata 72 g;2,49;(34,58 €/KILO)
Almejas blancas del norte al natural Dani lata 90 g;2,15;(23,89 €/KILO)
Trozos de calamares en salsa americana Albo lata 72 g;2,69;(37,36 €/KILO)
Melva en aceite de girasol Ubago lata 85 g;2,65;(31,18 €/KILO)
Lomos de bacalao en aceite de oliva Mari Marinera de Dia frasco 100 g;3,99;(39,90 €/KILO)
(41,11 €/KILO);Melva en aceite de oliva Ubago lata 85 GR;2,85 €
(33,53 €/KILO);Concha fina al natural Ubago lata 55 GR;2,39 €
(43,45 €/KILO);Navajuelas al natural Mari Marinera de Dia lata 63 g;2,30 €
(36,51 €/KILO);Almejas al natural Dani lata 63 g;2,45 €
(38,89 €/KILO);Chipirones rellenos en su tinta Mari Marinera de Dia lata 72 g;2,49 €
Maíz dulce Vegecampo de Dia lata 3 x 140 g;1,60;(3,81 €/KILO)
Pimientos del piquillo en tiras con ajo Vegecampo de Dia frasco 225 g;1,10;(4,89 €/KILO)
Judías verdes cortadas categoría extra Vegecampo de Dia frasco 360 g;1,25;(3,47 €/KILO)
Champiñones laminados Vegecampo de Dia lata 185 g;1,00;(5,41 €/KILO)
Judías verdes redondas Vegecampo de Dia frasco 360 g;1,25;(3,47 €/KILO)
Patatas cocidas enteras Vegecampo de Dia frasco 400 g;2,05;(5,13 €/KILO)
Macedonia de verdura Vegecampo de Dia frasco 325 g;0,91;(2,80 €/KILO)
Espárragos blancos cortos y delgados Vegecampo de Dia frasco 110 g;1,50;(13,64 €/KILO)
Maíz dulce Vegecampo de Dia lata 3 x 70 g;1,25;(5,95 €/KILO)
Ensalada china Vegecampo de Dia frasco 180 g;1,20;(6,67 €/KILO)
Pimientos del piquillo enteros al natural Vegecampo de Dia frasco 260 g;1,37;(5,27 €/KILO)
Champiñones laminados Vegecampo de Dia lata 2 x 105 g;1,69;(8,05 €/KILO)
Guisantes medianos Vegecampo de Dia lata 3 x 130 g;2,00;(5,13 €/KILO)
Corazones de alcachofas Vegecampo de Dia frasco 330 g;2,80;(8,48 €/KILO)
Espárragos blancos medianos extra Vegecampo de Dia frasco 205 g;1,95;(9,51 €/KILO)
Remolacha en rodajas Vegecampo de Dia frasco 180 g;0,99;(5,50 €/KILO)
Zanahoria en tiras Vegecampo de Dia frasco 180 g;0,85;(4,72 €/KILO)
Tomate seco en aceite Vegecampo de Dia frasco 110 g;2,25;(20,45 €/KILO)
Corazones de alcachofa Vegecampo de Dia lata 240 g;1,85;(7,71 €/KILO)
Pimientos asados en tiras Joyas del valle lata 3 x 60 g;1,95;(10,83 €/KILO)
Ratatouille con berenjena, calabacín y pimiento Bonduelle lata 375 g;3,99;(6,38 €/KILO)
Corazones de alcachofas Vegecampo de Dia frasco 115 g;1,75;(15,22 €/KILO)
Espárragos blancos muy gruesos 6/9 piezas Vegecampo de Dia frasco 325 g;3,00;(9,23 €/KILO)
Yemas de espárragos delgados Vegecampo de Dia frasco 110 g;1,45;(13,18 €/KILO)
Pimientos del piquillo rojo y verde en tiras Vegecampo de Dia frasco 270 g;1,80;(6,55 €/KILO)
Acelgas Vegecampo de Dia frasco 425 g;1,75;(4,12 €/KILO)
Surtido de setas Vegecampo de Dia frasco 160 g;1,49;(9,31 €/KILO)
Pimientos rojos Diamir lata 3 x 60 g;2,15;(11,94 €/KILO)
Espárragos verdes delgados Vegecampo de Dia frasco 100 g;1,55;(15,50 €/KILO)
Guisantes con zanahorias Vegecampo de Dia lata 3 x 130 g;2,49;(6,38 €/KILO)
Guisantes muy finos Vegecampo de Dia lata 250 g;0,90;(3,60 €/KILO)
Espinacas Vegecampo de Dia frasco 425 g;1,55;(3,65 €/KILO)
Guisantes muy finos Bonduelle lata 3 x 130 g;3,59;(8,55 €/KILO)
Yemas de espárragos muy gruesos Vegecampo de Dia frasco 110 g;1,99;(18,09 €/KILO)
Maíz dulce pack Celorrio lata 3 x 140 g;1,99;(4,74 €/KILO)
Pimientos de piquillo D.O.P. de Lodosa Delicias de Dia frasco 220 g;3,39;(15,41 €/KILO)
Cebolla frita Hida lata 2 x 155 g;2,49;(8,03 €/KILO)
Champiñones enteros Vegecampo de Dia lata 185 g;1,45;(7,84 €/KILO)
Corazones de alcachofas Vegecampo de Dia frasco 165 g;1,79;(10,85 €/KILO)
Maíz dulce Vegecampo de Dia lata 285 g;1,09;(3,82 €/KILO)
Puré de patatas Patatas Unidas Dia caja 500 g;2,00;(4,00 €/KILO)
Caldo de pollo Al Punto Dia caja 24 unidades;1,30;(0,05 €/UNIDAD)
Caldo de pescado Al Punto Dia caja 12 unidades;0,85;(0,07 €/UNIDAD)
Sopa de pollo con fideos Gallina Blanca sobre 71 g;0,85;(11,97 €/KILO)
Sopa de pollo con fideos Al Punto Dia sobre 71 g;0,65;(9,15 €/KILO)
Caldo de pescado Knorr caja 12 unidades;1,69;(0,14 €/UNIDAD)
Noodles orientales sabor pollo Al Punto Dia vaso 65 g;0,85;(13,08 €/KILO)
Caldo de verduras Al Punto Dia caja 12 unidades;0,85;(0,07 €/UNIDAD)
Sopa maravilla Al Punto Dia sobre 90 g;0,65;(7,22 €/KILO)
Sopa de ternera con estrellitas Gallina Blanca sobre 74 g;0,85;(11,49 €/KILO)
Pastillas de caldo de pollo Gallina Blanca Avecrem caja 8 unidades;1,00;(0,13 €/UNIDAD)
Sopa de cocido con fideos Gallina Blanca sobre 72 g;0,85;(11,81 €/KILO)
Caldo de carne Knorr caja 18 unidades;1,99;(0,11 €/UNIDAD)
Caldo sabor a carne Al Punto Dia caja 24 unidades;1,75;(0,07 €/UNIDAD)
Hierbas provenzales Maggi sobre 34 g;1,19;(29,41 €/KILO)
Sopa de pollo con maravilla Gallina Blanca sobre 85 g;0,85;(10,00 €/KILO)
Crema de pollo con picatostes Gallina Blanca Sopinstant caja 63 g;1,49;(23,65 €/KILO)
Sopa de cebolla Knorr sobre 54 g;0,99;(18,33 €/KILO)
Pastillas de caldo de pollo Gallina Blanca Avecrem caja 24 unidades;2,95;(0,12 €/UNIDAD)
Noodles sabor gamba Al Punto Dia sobre 85 g;0,89;(10,47 €/KILO)
Sopa de ave con fideos Gallina Blanca sobre 76 g;0,85;(11,18 €/KILO)
Pasta oriental fusian sabor pollo Maggi sobre 71 g;0,99;(13,94 €/KILO)
Noodles orientales sabor verduras Al Punto Dia vaso 65 g;0,85;(13,08 €/KILO)
Fideos orientales yakisoba pollo Gallina Blanca Yatekomo vaso 93 g;1,95;(20,97 €/KILO)
Sopa jardinera Gallina Blanca sobre 71 g;0,85;(11,04 €/KILO)
Fideos orientales yakisoba Gallina Blanca Yatekomo bolsa 93 g;1,59;(17,10 €/KILO)
